17:09:42 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:42 - dimensions : 2
17:09:42 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:42 - dimensions : 2
17:09:42 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:42 - dimensions : 2
17:09:42 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:42 - dimensions : 2
17:09:42 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:42 - dimensions : 2
17:09:42 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:42 - dimensions : 2
17:09:43 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:43 - dimensions : 2
17:09:43 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:43 - dimensions : 2
17:09:43 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:43 - dimensions : 2
17:09:43 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:43 - dimensions : 2
17:09:43 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:43 - dimensions : 2
17:09:43 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:43 - dimensions : 2
17:09:43 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:43 - dimensions : 2
17:09:43 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:43 - dimensions : 2
17:09:43 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:43 - dimensions : 2
17:09:43 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:43 - dimensions : 2
17:09:43 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:43 - dimensions : 2
17:09:43 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:43 - dimensions : 2
17:09:43 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:43 - dimensions : 2
17:09:43 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:43 - dimensions : 2
17:09:44 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:44 - dimensions : 2
17:09:44 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:44 - dimensions : 2
17:09:44 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:44 - dimensions : 2
17:09:44 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:44 - dimensions : 2
17:09:44 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:44 - dimensions : 2
17:09:44 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:44 - dimensions : 2
17:09:44 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:44 - dimensions : 2
17:09:44 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:44 - dimensions : 2
17:09:44 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:44 - dimensions : 2
17:09:44 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:44 - dimensions : 2
17:09:44 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:44 - dimensions : 2
17:09:44 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:44 - dimensions : 2
17:09:45 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:45 - dimensions : 2
17:09:45 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:45 - dimensions : 2
17:09:45 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:45 - dimensions : 2
17:09:45 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:45 - dimensions : 2
17:09:45 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:45 - dimensions : 2
17:09:45 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:45 - dimensions : 2
17:09:45 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:45 - dimensions : 2
17:09:45 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:45 - dimensions : 2
17:09:45 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:45 - dimensions : 2
17:09:45 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:45 - dimensions : 2
17:09:45 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:45 - dimensions : 2
17:09:45 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:45 - dimensions : 2
17:09:45 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:45 - dimensions : 2
17:09:46 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:46 - dimensions : 2
17:09:46 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:46 - dimensions : 2
17:09:46 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:46 - dimensions : 2
17:09:46 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:46 - dimensions : 2
17:09:46 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:46 - dimensions : 2
17:09:46 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:46 - dimensions : 2
17:09:46 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:46 - dimensions : 2
17:09:46 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:46 - dimensions : 2
17:09:46 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:46 - dimensions : 2
17:09:46 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:46 - dimensions : 2
17:09:46 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:46 - dimensions : 2
17:09:46 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:46 - dimensions : 2
17:09:46 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:46 - dimensions : 2
17:09:47 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:47 - dimensions : 2
17:09:47 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:47 - dimensions : 2
17:09:47 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:47 - dimensions : 2
17:09:47 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:47 - dimensions : 2
17:09:47 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:47 - dimensions : 2
17:09:47 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:47 - dimensions : 2
17:09:47 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:47 - dimensions : 2
17:09:47 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:47 - dimensions : 2
17:09:47 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:47 - dimensions : 2
17:09:47 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:47 - dimensions : 2
17:09:47 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:47 - dimensions : 2
17:09:47 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:47 - dimensions : 2
17:09:47 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:47 - dimensions : 2
17:09:48 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:48 - dimensions : 2
17:09:48 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:48 - dimensions : 2
17:09:48 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:48 - dimensions : 2
17:09:48 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:48 - dimensions : 2
17:09:48 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:48 - dimensions : 2
17:09:48 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:48 - dimensions : 2
17:09:48 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:48 - dimensions : 2
17:09:48 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:48 - dimensions : 2
17:09:48 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:48 - dimensions : 2
17:09:48 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:48 - dimensions : 2
17:09:48 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:48 - dimensions : 2
17:09:48 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:48 - dimensions : 2
17:09:48 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:48 - dimensions : 2
17:09:49 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:49 - dimensions : 2
17:09:49 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:49 - dimensions : 2
17:09:49 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:49 - dimensions : 2
17:09:49 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:49 - dimensions : 2
17:09:49 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:49 - dimensions : 2
17:09:49 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:49 - dimensions : 2
17:09:49 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:49 - dimensions : 2
17:09:49 setBaseVelocity :DEBUG- dimensions : 2
